ISO31662A2(State), FIPS 5-2(State), ShortName(City), FIPS 55-3(City), GNIS(City), Type, Latitude, Longitude
AL,01,Bucks,10456,2628581,CDP,31.016881,-88.026385
AL,01,Butler,11032,2405351,PPL,32.095113,-88.213970
AL,01,Calera,11416,2403965,PPL,33.122324,-86.745644
AL,01,Calvert,11488,2628582,CDP,31.154470,-88.010460
AL,01,Camden,11512,2403975,PPL,31.998493,-87.288950
AL,01,Camp Hill,11680,2405370,PPL,32.797327,-85.655833
AL,01,Carbon Hill,12016,2403992,PPL,33.894991,-87.522078
AL,01,Cardiff,12040,2405377,PPL,33.647188,-86.930557
AL,01,Carlisle-Rockledge,12070,2582667,CDP,34.114451,-86.124073
AL,01,Carlton,12112,2628583,CDP,31.348571,-87.835666
AL,01,Carolina,12160,2405380,PPL,31.234150,-86.521001
AL,01,Carrollton,12304,2405384,PPL,33.261903,-88.095071
AL,01,Castleberry,12496,2406236,PPL,31.299678,-87.029129
AL,01,Catherine,12544,2628584,CDP,32.186170,-87.469978
AL,01,Cedar Bluff,12760,2406240,PPL,34.221422,-85.588565
AL,01,Center Point,13264,2404020,PPL,33.643903,-86.684567
AL,01,Centre,13648,2404025,PPL,34.155363,-85.668842
AL,01,Centreville,13672,2404026,PPL,32.958798,-87.132305
AL,01,Chatom,14008,2406259,PPL,31.469145,-88.246019
AL,01,Chelsea,14104,2404037,PPL,33.326887,-86.629519
AL,01,Cherokee,14152,2406262,PPL,34.757700,-87.965589
AL,01,Chickasaw,14392,2404045,PPL,30.771450,-88.079697
AL,01,Childersburg,14464,2404048,PPL,33.291877,-86.340599
AL,01,Choccolocco,14728,2582668,CDP,33.674346,-85.710918
AL,01,Chunchula,14968,2628585,CDP,30.927194,-88.208200
AL,01,Citronelle,15064,2404051,PPL,31.097266,-88.249839
AL,01,Clanton,15136,2404052,PPL,32.841704,-86.623008
AL,01,Clay,15256,2404063,PPL,33.696582,-86.608166
AL,01,Clayhatchee,15304,2406273,PPL,31.236925,-85.721478
AL,01,Clayton,15376,2406274,PPL,31.882414,-85.460541
AL,01,Cleveland,15472,2406278,PPL,34.002179,-86.561352
AL,01,Clio,15640,2404082,PPL,31.708516,-85.611039
AL,01,Coaling,16000,2406286,PPL,33.169901,-87.349887
AL,01,Coats Bend,16080,2582669,CDP,34.077426,-85.874184
AL,01,Coffee Springs,16240,2406288,PPL,31.165836,-85.910898
AL,01,Coffeeville,16264,2406289,PPL,31.766564,-88.086049
AL,01,Coker,16312,2406291,PPL,33.243752,-87.681329
AL,01,Collinsville,16600,2406296,PPL,34.262193,-85.867868
AL,01,Colony,16684,2406297,PPL,33.941185,-86.901864
AL,01,Columbia,16744,2406298,PPL,31.295351,-85.110202
AL,01,Columbiana,16768,2404109,PPL,33.191450,-86.615666
AL,01,Concord,16936,2402792,CDP,33.461986,-87.040435
AL,01,Coosada,17176,2406310,PPL,32.495394,-86.326543
AL,01,Cordova,17368,2404130,PPL,33.761292,-87.201099
AL,01,Cottondale,17704,2727439,CDP,33.193047,-87.454861
AL,01,Cottonwood,17824,2406321,PPL,31.054033,-85.299560
AL,01,County Line,17968,2406322,PPL,33.820895,-86.719730
AL,01,Courtland,18040,2406323,PPL,34.669946,-87.327892
AL,01,Cowarts,18088,2406329,PPL,31.206248,-85.309769
AL,01,Creola,18304,2404149,PPL,30.874343,-88.009442
AL,01,Crossville,18856,2406341,PPL,34.285486,-85.998756
AL,01,Cuba,18952,2406344,PPL,32.440733,-88.374798
AL,01,Cullman,18976,2404166,PPL,34.179337,-86.840793
AL,01,Cullomburg,19024,2628586,CDP,31.713061,-88.291774
AL,01,Cusseta,19216,2424934,PPL,32.787654,-85.305748
AL,01,Dadeville,19336,2404175,PPL,32.826114,-85.776201
AL,01,Daleville,19360,2404178,PPL,31.291397,-85.711418
AL,01,Daphne,19648,2404186,PPL,30.625545,-87.895979
AL,01,Dauphin Island,19744,2406357,PPL,30.250913,-88.171268
AL,01,Daviston,19816,2406360,PPL,33.056839,-85.634329
AL,01,Dayton,19912,2406361,PPL,32.350958,-87.641573
AL,01,Deatsville,20008,2406364,PPL,32.588972,-86.388984
AL,01,Decatur,20104,2404206,PPL,34.573321,-86.992135
AL,01,Deer Park,20152,2628587,CDP,31.218369,-88.328023
AL,01,Delta,20272,2582670,CDP,33.440524,-85.675905
AL,01,Demopolis,20296,2404214,PPL,32.499938,-87.825426
AL,01,Detroit,20392,2406377,PPL,34.027379,-88.167831
AL,01,Dodge,20955,2406384,PPL,34.045414,-86.882670
AL,01,Dora,21136,2404235,PPL,33.729703,-87.083874
AL,01,Dothan,21184,2404238,PPL,31.233698,-85.406823
AL,01,Double Springs,21280,2406389,PPL,34.151340,-87.403488
AL,01,Douglas,21328,2406390,PPL,34.168258,-86.323386
AL,01,Dozier,21448,2406394,PPL,31.505407,-86.369235
AL,01,Dunnavant,21890,2582671,CDP,33.508673,-86.529843
AL,01,Dutton,21952,2406408,PPL,34.606152,-85.911850
AL,01,East Brewton,22216,2403531,PPL,31.091440,-87.055345
AL,01,East Point,22504,2628588,CDP,34.191023,-86.791785
AL,01,Eclectic,22816,2406420,PPL,32.640179,-86.041096
AL,01,Edgewater,23032,2402443,CDP,33.530099,-86.952790
AL,01,Edwardsville,23176,2406427,PPL,33.883740,-85.414124
AL,01,Egypt,23224,2582672,CDP,34.075931,-86.165051
AL,01,Elba,23296,2403549,PPL,31.417313,-86.077189
AL,01,Elberta,23320,2406430,PPL,30.373689,-87.595778
AL,01,Eldridge,23344,2406431,PPL,33.922018,-87.620108
AL,01,Elkmont,23488,2406437,PPL,34.932604,-86.976971
AL,01,Elmore,23656,2406444,PPL,32.544337,-86.336446
AL,01,Emelle,23872,2406447,PPL,32.728678,-88.316486
AL,01,Emerald Mountain,23880,2582673,CDP,32.447641,-86.094618
AL,01,Enterprise,24184,2403567,PPL,31.326912,-85.844077
AL,01,Epes,24256,2406456,PPL,32.691249,-88.126852
AL,01,Ethelsville,24472,2406465,PPL,33.414066,-88.216093
AL,01,Eufaula,24568,2403575,PPL,31.910041,-85.152556
AL,01,Eunola,24616,2633143,CDP,31.031390,-85.833966
AL,01,Eutaw,24664,2406470,PPL,32.846247,-87.900332
AL,01,Eva,24688,2406472,PPL,34.326504,-86.765318
AL,01,Evergreen,24808,2403584,PPL,31.442718,-86.959904
AL,01,Excel,24880,2406476,PPL,31.426386,-87.343663
AL,01,Fairfield,25120,2403587,PPL,33.474704,-86.919339
AL,01,Fairford,25216,2628589,CDP,31.178002,-88.072784
AL,01,Fairhope,25240,2403590,PPL,30.520920,-87.879122
AL,01,Fairview,25384,2406480,PPL,34.249060,-86.688834
AL,01,Falkville,25648,2406488,PPL,34.377019,-86.909547
AL,01,Faunsdale,25816,2406495,PPL,32.457614,-87.593789
AL,01,Fayette,25840,2403599,PPL,33.694215,-87.831169
AL,01,Fayetteville,25864,2582674,CDP,33.168097,-86.442774
AL,01,Fitzpatrick,26152,2628590,CDP,32.210373,-85.873699
AL,01,Five Points,26200,2406498,PPL,33.017311,-85.351592
AL,01,Flomaton,26824,2406500,PPL,31.014816,-87.256016
AL,01,Florala,26848,2406502,PPL,31.022391,-86.318152
AL,01,Florence,26896,2403619,PPL,34.830323,-87.666139
AL,01,Foley,26992,2403626,PPL,30.397009,-87.664211
AL,01,Forestdale,27088,2402493,CDP,33.574074,-86.899918
AL,01,Forkland,27376,2406506,PPL,32.647435,-87.867436
AL,01,Fort Deposit,27520,2406507,PPL,31.986261,-86.566359
AL,01,Fort Payne,27616,2403645,PPL,34.457329,-85.689447
AL,01,Fort Rucker,27640,2402503,CDP,31.342576,-85.716072
AL,01,Franklin,28024,2406517,PPL,32.455269,-85.807017
AL,01,Fredonia,28120,2582675,CDP,32.973565,-85.302938
AL,01,Frisco,28312,2406528,PPL,31.439485,-87.404182
AL,01,Fruitdale,28408,2628591,CDP,31.349790,-88.410937
AL,01,Fruithurst,28432,2406529,PPL,33.729539,-85.431249
AL,01,Fulton,28504,2406530,PPL,31.790989,-87.744212
AL,01,Fultondale,28552,2403671,PPL,33.617648,-86.801595
AL,01,Fyffe,28672,2406534,PPL,34.449615,-85.904969
AL,01,Gadsden,28696,2403673,PPL,34.009563,-86.015643
AL,01,Gainesville,28768,2406537,PPL,32.814934,-88.160791
AL,01,Gallant,28816,2582676,CDP,34.001318,-86.230171
AL,01,Gantt,28936,2406539,PPL,31.410740,-86.483524
AL,01,Garden,29032,2406541,PPL,34.015971,-86.751158
AL,01,Gardendale,29056,2403681,PPL,33.676587,-86.809844
AL,01,Gaylesville,29296,2406555,PPL,34.268103,-85.558468
AL,01,Geiger,29392,2406556,PPL,32.868715,-88.318154
AL,01,Geneva,29464,2403687,PPL,31.044886,-85.876818
AL,01,Georgiana,29560,2406560,PPL,31.639134,-86.746762
AL,01,Geraldine,29608,2406561,PPL,34.359087,-86.002579
AL,01,Gilbertown,29704,2406569,PPL,31.875791,-88.319489
AL,01,Glen Allen,29944,2406574,PPL,33.892108,-87.732682
AL,01,Glencoe,29992,2403701,PPL,33.939389,-85.934313
AL,01,Glenwood,30160,2406579,PPL,31.671266,-86.173687
AL,01,Goldville,30448,2406586,PPL,33.084867,-85.777982
AL,01,Good Hope,30496,2406587,PPL,34.109835,-86.865195
AL,01,Goodwater,30640,2406589,PPL,33.060835,-86.052333
AL,01,Gordo,30736,2406590,PPL,33.322286,-87.903681
AL,01,Gordon,30760,2406591,PPL,31.143938,-85.093249
AL,01,Gordonville,30808,2406593,PPL,32.159179,-86.704235
AL,01,Goshen,30880,2406594,PPL,31.720015,-86.123245
AL,01,Graham,31000,2582677,CDP,33.455191,-85.323085
AL,01,Grand Bay,31024,2402543,CDP,30.472082,-88.344401
AL,01,Grant,31096,2406603,PPL,34.518173,-86.260430
AL,01,Grayson Valley,31348,2402547,CDP,33.647038,-86.641281
AL,01,Graysville,31384,2403734,PPL,33.658258,-86.967320
AL,01,Greensboro,31720,2403743,PPL,32.700968,-87.593700
AL,01,Greenville,31912,2403748,PPL,31.843072,-86.636951
AL,01,Grimes,32056,2406621,PPL,31.299856,-85.450292
AL,01,Grove Hill,32080,2406623,PPL,31.702294,-87.773845
AL,01,Guin,32224,2403768,PPL,33.982923,-87.901804
AL,01,Gulfcrest,32248,2628592,CDP,30.991106,-88.242231
AL,01,Gulf Shores,32272,2403770,PPL,30.273981,-87.707168
AL,01,Guntersville,32416,2403774,PPL,34.367947,-86.252323
AL,01,Gurley,32440,2406631,PPL,34.702471,-86.374330
AL,01,Gu-Win,32536,2406632,PPL,33.944319,-87.870368
AL,01,Hackleburg,32560,2406635,PPL,34.269355,-87.830402
AL,01,Hackneyville,32584,2582678,CDP,33.054654,-85.934423
AL,01,Haleburg,32656,2406636,PPL,31.409976,-85.138068
AL,01,Haleyville,32704,2403782,PPL,34.233832,-87.617574
AL,01,Hamilton,32848,2403785,PPL,34.138710,-87.970837
AL,01,Hammondville,32896,2406640,PPL,34.566264,-85.640252
AL,01,Hanceville,32968,2403793,PPL,34.062507,-86.762524
AL,01,Harpersville,33256,2406645,PPL,33.317725,-86.428431
AL,01,Hartford,33424,2403808,PPL,31.105348,-85.691225
AL,01,Hartselle,33448,2403812,PPL,34.440434,-86.940364
AL,01,Harvest,33472,2402570,CDP,34.855070,-86.758643
AL,01,Hatton,33544,2628593,CDP,34.560671,-87.413835
AL,01,Hayden,33640,2405806,PPL,33.894514,-86.744224
AL,01,Hayneville,33712,2405810,PPL,32.182595,-86.578588
AL,01,Hazel Green,33808,2402573,CDP,34.923656,-86.567392
AL,01,Headland,33856,2404672,PPL,31.354974,-85.357031
AL,01,Heath,33904,2405811,PPL,31.344839,-86.469050
AL,01,Heflin,33976,2404675,PPL,33.647400,-85.569339
AL,01,Helena,34024,2404677,PPL,33.285635,-86.874488
AL,01,Henagar,34096,2404680,PPL,34.630641,-85.730918
AL,01,Highland Lake,34480,2405832,PPL,33.894586,-86.422553
AL,01,Highland Lakes,34490,2582679,CDP,33.398378,-86.651296
AL,01,Hillsboro,34816,2405838,PPL,34.642586,-87.178489
AL,01,Hissop,34984,2582680,CDP,32.869773,-86.123622
AL,01,Hobson,35130,2628594,CDP,31.488725,-88.150928
AL,01,Hobson,35152,2405845,PPL,33.618801,-85.846146
AL,01,Hodges,35200,2405846,PPL,34.334246,-87.923160
AL,01,Hokes Bluff,35392,2404710,PPL,33.989682,-85.862873
AL,01,Hollins,35512,2582681,CDP,33.121757,-86.126967
AL,01,Hollis Crossroads,35536,2582682,CDP,33.531333,-85.652862
AL,01,Holly Pond,35560,2405852,PPL,34.167187,-86.611799
AL,01,Hollywood,35632,2405855,PPL,34.717279,-85.965579
AL,01,Holt,35704,2402595,CDP,33.229745,-87.482894
AL,01,Holtville,35752,2582683,CDP,32.630299,-86.328004
AL,01,Homewood,35800,2404724,PPL,33.458550,-86.809650
AL,01,Hoover,35896,2404725,PPL,33.376949,-86.805579
AL,01,Horn Hill,36088,2405862,PPL,31.238158,-86.325104
AL,01,Hueytown,36448,2404738,PPL,33.408484,-87.016580
AL,01,Huguley,36592,2402603,CDP,32.842982,-85.239366
AL,01,Huntsville,37000,2404746,PPL,34.699013,-86.672980
AL,01,Hurtsboro,37096,2405877,PPL,32.240090,-85.414670
AL,01,Hytop,37264,2405879,PPL,34.906403,-86.085258
AL,01,Ider,37312,2405880,PPL,34.702161,-85.669042
AL,01,Indian Springs,37465,2404759,PPL,33.361209,-86.746856
AL,01,Irondale,37864,2404765,PPL,33.539847,-86.660539
AL,01,Ivalee,38032,2582684,CDP,34.037200,-86.147175
AL,01,Jackson,38152,2404775,PPL,31.532321,-87.891183
AL,01,Jacksons' Gap,38248,2405902,PPL,32.884019,-85.815046
AL,01,Jacksonville,38272,2404780,PPL,33.809108,-85.753918
AL,01,Jasper,38416,2404790,PPL,33.856035,-87.270268
AL,01,Jemison,38608,2404801,PPL,32.970705,-86.733070
AL,01,Joppa,39064,2628595,CDP,34.299550,-86.549946
AL,01,Kansas,39280,2405930,PPL,33.902808,-87.556598
AL,01,Kellyton,39472,2405933,PPL,32.979188,-86.034608
AL,01,Kennedy,39520,2405936,PPL,33.580891,-87.986179
AL,01,Killen,39784,2405945,PPL,34.860954,-87.529346
AL,01,Kimberly,39856,2405948,PPL,33.775851,-86.797082
AL,01,Kinsey,40072,2405953,PPL,31.292637,-85.335400
AL,01,Kinston,40096,2405954,PPL,31.219604,-86.170075
AL,01,Ladonia,40648,2403183,CDP,32.459854,-85.097139
AL,01,La Fayette,40672,2404846,PPL,32.899427,-85.400795
AL,01,Lakeview,40888,2405980,PPL,34.391629,-85.975704
AL,01,Lake View,40928,2405977,PPL,33.281696,-87.141300
AL,01,Lanett,41296,2404883,PPL,32.857873,-85.207744
AL,01,Langston,41368,2405985,PPL,34.545063,-86.093350
AL,01,Leeds,41968,2404905,PPL,33.546826,-86.571975
AL,01,Leesburg,42016,2405999,PPL,34.178627,-85.777897
AL,01,Leighton,42160,2406001,PPL,34.698625,-87.529116
AL,01,Leroy,42304,2628596,CDP,31.494937,-87.972782
AL,01,Lester,42352,2406007,PPL,34.982751,-87.155535
AL,01,Level Plains,42472,2406009,PPL,31.307070,-85.768755
AL,01,Lexington,42640,2406013,PPL,34.959351,-87.372830
AL,01,Libertyville,42808,2406018,PPL,31.243980,-86.460150
AL,01,Lincoln,43120,2404929,PPL,33.622176,-86.070637
AL,01,Linden,43240,2404934,PPL,32.301358,-87.792564
AL,01,Lineville,43264,2404935,PPL,33.312832,-85.752278
AL,01,Lipscomb,43336,2404936,PPL,33.426054,-86.926026
AL,01,Lisman,43384,2406024,PPL,32.171729,-88.284092
AL,01,Littleville,43648,2406027,PPL,34.595132,-87.670739
AL,01,Livingston,43720,2404942,PPL,32.595549,-88.186929
AL,01,Loachapoka,43744,2406032,PPL,32.607946,-85.598479
AL,01,Lockhart,43816,2406033,PPL,31.013011,-86.350273
AL,01,Locust Fork,43888,2406036,PPL,33.876794,-86.647093
AL,01,Lookout Mountain,44160,2582685,CDP,34.115916,-85.965464
AL,01,Louisville,44344,2406049,PPL,31.781047,-85.558336
AL,01,Lowndesboro,44536,2406051,PPL,32.276422,-86.610848
AL,01,Loxley,44608,2406055,PPL,30.684588,-87.739213
AL,01,Luverne,44728,2404977,PPL,31.718941,-86.269082
AL,01,Lynn,44800,2406065,PPL,34.057592,-87.548639
AL,01,McDonald Chapel,45208,2403268,CDP,33.518576,-86.938462
AL,01,Macedonia,45316,2633142,CDP,33.403139,-88.239221
AL,01,McIntosh,45472,2406131,PPL,31.264957,-88.028369
AL,01,McKenzie,45496,2406134,PPL,31.546470,-86.725954
AL,01,McMullen,45640,2406137,PPL,33.148100,-88.175749
AL,01,Madison,45784,2404989,PPL,34.710533,-86.762280
AL,01,Madrid,45904,2406075,PPL,31.035771,-85.397845
AL,01,Magnolia Springs,46072,2406080,PPL,30.403410,-87.775895
AL,01,Malcolm,46192,2628597,CDP,31.198697,-88.001065
AL,01,Malvern,46264,2406084,PPL,31.143698,-85.522973
AL,01,Maplesville,46504,2406093,PPL,32.788282,-86.876651
AL,01,Marbury,46600,2582686,CDP,32.684059,-86.476141
AL,01,Margaret,46696,2406094,PPL,33.672840,-86.463942
AL,01,Marion,46768,2405020,PPL,32.631968,-87.317333
AL,01,Maytown,47728,2406119,PPL,33.549016,-86.999872
AL,01,Meadowbrook,47740,2403273,CDP,33.390614,-86.708172
AL,01,Megargel,47848,2628598,CDP,31.378141,-87.430649
AL,01,Memphis,48052,2406145,PPL,33.137044,-88.305942
AL,01,Mentone,48064,2406147,PPL,34.563191,-85.589706
AL,01,Meridianville,48112,2403279,CDP,34.874913,-86.580559
AL,01,Midfield,48376,2404254,PPL,33.455197,-86.922633
AL,01,Midland,48400,2406160,PPL,31.315688,-85.493684
AL,01,Midway,48424,2406161,PPL,32.076373,-85.524417
AL,01,Mignon,48616,2403291,CDP,33.186580,-86.256886
AL,01,Millbrook,48712,2404261,PPL,32.501474,-86.373914
AL,01,Millerville,48784,2582687,CDP,33.191458,-85.929828
AL,01,Millport,48808,2406164,PPL,33.555935,-88.082382
AL,01,Millry,48832,2406165,PPL,31.621199,-88.327956
AL,01,Minor,49072,2403295,CDP,33.538950,-86.940261
AL,01,Mobile,50000,2404278,PPL,30.668426,-88.100226
AL,01,Monroeville,50192,2404285,PPL,31.516223,-87.327714
AL,01,Montevallo,50312,2404287,PPL,33.125869,-86.846924
AL,01,Montgomery,51000,2404289,PPL,32.347174,-86.266114
AL,01,Moody,51096,2404295,PPL,33.603426,-86.493789
AL,01,Moores Mill,51216,2403306,CDP,34.852143,-86.520380
AL,01,Mooresville,51264,2406188,PPL,34.626964,-86.879997
AL,01,Morris,51456,2406195,PPL,33.746735,-86.804438
AL,01,Morrison Crossroads,51469,2582688,CDP,33.417996,-85.488284
AL,01,Mosses,51520,2406201,PPL,32.188758,-86.679435
AL,01,Moulton,51600,2404314,PPL,34.488302,-87.282707
AL,01,Moundville,51648,2406202,PPL,32.996542,-87.627545
AL,01,Mountain Brook,51696,2404329,PPL,33.491488,-86.734470
AL,01,Mount Olive,52320,2582689,CDP,33.078474,-86.133291
AL,01,Mount Olive,52344,2403310,CDP,33.677474,-86.872596
AL,01,Mount Vernon,52608,2406213,PPL,31.087727,-88.013166
AL,01,Movico,52680,2628599,CDP,31.062763,-88.026619
AL,01,Mulga,52776,2406218,PPL,33.552891,-86.973293
AL,01,Munford,52848,2424936,PPL,33.529059,-85.952543
AL,01,Muscle Shoals,53016,2404345,PPL,34.742657,-87.633767
AL,01,Myrtlewood,53112,2406222,PPL,32.252088,-87.949261
AL,01,Nanafalia,53208,2628600,CDP,32.111393,-87.995757
AL,01,Nances Creek,53232,2582690,CDP,33.854650,-85.684728
AL,01,Napier Field,53256,2406224,PPL,31.314917,-85.454962
AL,01,Natural Bridge,53376,2406966,PPL,34.090353,-87.601409
AL,01,Nauvoo,53400,2406967,PPL,33.984386,-87.485440
AL,01,Nectar,53448,2406969,PPL,33.979779,-86.620614
AL,01,Needham,53472,2406970,PPL,31.987000,-88.336563
AL,01,Newbern,53784,2406982,PPL,32.591672,-87.535614
AL,01,New Brockton,53856,2406973,PPL,31.367723,-85.925180
AL,01,New Hope,54168,2404361,PPL,34.537972,-86.412372
AL,01,New Market,54312,2403332,CDP,34.892335,-86.425818
AL,01,New Site,54432,2406980,PPL,33.026041,-85.784536
AL,01,Newton,54480,2406989,PPL,31.341229,-85.588307
AL,01,New Union,54582,2582691,CDP,34.133682,-86.228002
AL,01,Newville,54600,2406991,PPL,31.420604,-85.336690
AL,01,North Courtland,55044,2407004,PPL,34.680046,-87.305721
AL,01,North Johns,55152,2407006,PPL,33.368055,-87.100888
AL,01,Northport,55200,2404400,PPL,33.257718,-87.596388
AL,01,Notasulga,55440,2407012,PPL,32.555409,-85.668577
AL,01,Oak Grove,55752,2407015,PPL,33.190359,-86.303727
AL,01,Oak Hill,55848,2407019,PPL,31.921620,-87.085234
AL,01,Oakman,55992,2407028,PPL,33.714322,-87.388699
AL,01,Odenville,56400,2407036,PPL,33.700875,-86.423371
AL,01,Ohatchee,56472,2407037,PPL,33.789764,-86.029055
AL,01,Oneonta,57000,2404433,PPL,33.947082,-86.489510
AL,01,Onycha,57024,2407049,PPL,31.225693,-86.276024
AL,01,Opelika,57048,2404435,PPL,32.660739,-85.378890
AL,01,Opp,57120,2404437,PPL,31.284375,-86.257442
AL,01,Orange Beach,57144,2404439,PPL,30.293811,-87.585960
AL,01,Orrville,57240,2407056,PPL,32.306769,-87.245447
AL,01,Our,57384,2582692,PPL,32.842211,-85.967035
AL,01,Owens Cross Roads,57504,2407060,PPL,34.585458,-86.455027
AL,01,Oxford,57576,2404451,PPL,33.598433,-85.872336
AL,01,Ozark,57648,2404456,PPL,31.451615,-85.645035
AL,01,Paint Rock,57696,2407066,PPL,34.660934,-86.333952
AL,01,Panola,57912,2628601,CDP,32.946819,-88.262264
AL,01,Parrish,58272,2407076,PPL,33.732321,-87.280127
AL,01,Pelham,58848,2404497,PPL,33.321830,-86.742197
AL,01,Pell,58896,2404499,PPL,33.560776,-86.268790
AL,01,Pennington,58968,2407098,PPL,32.206960,-88.055777
AL,01,Penton,59016,2582693,CDP,33.009832,-85.474824
AL,01,Perdido Beach,59088,2560543,PPL,30.353879,-87.504788
AL,01,Peterman,59232,2628602,CDP,31.583669,-87.263042
AL,01,Petrey,59328,2407104,PPL,31.852160,-86.204007
AL,01,Phenix,59472,2404510,PPL,32.461669,-85.025021
AL,01,Phil Campbell,59496,2407105,PPL,34.351539,-87.706319
AL,01,Pickensville,59592,2407107,PPL,33.235782,-88.289443
AL,01,Piedmont,59640,2404515,PPL,33.926035,-85.615442
AL,01,Pike Road,59760,2407109,PPL,32.311887,-86.033007
AL,01,Pinckard,59832,2407112,PPL,31.318989,-85.537836
AL,01,Pine Apple,59880,2407114,PPL,31.872155,-86.989059
AL,01,Pine Hill,60240,2407115,PPL,31.985884,-87.587516
AL,01,Pine Level,60264,2582694,CDP,32.579542,-86.454318
AL,01,Pine Ridge,60372,2407119,PPL,34.447950,-85.784018
AL,01,Pinson,60648,2424931,PPL,33.703291,-86.669741
